soundtrack_appid,soundtrack_name,soundtrack_reviews,soundtrack_positive_percentage,main_game_appid,main_game_name,main_game_reviews,main_game_positive_percentage,main_game_genre
492140,Dead by Daylight: Original Soundtrack,315,77.14,381210,Dead by Daylight,575923,79.03,Action
1266580,eden* Soundtrack,28,82.14,315810,eden*,3557,98.09,Adventure
571010,ASTRONEER (Original Soundtrack),109,85.32,361420,ASTRONEER,109874,92.24,Adventure
571010,ASTRONEER (Original Soundtrack),109,85.32,361420,ASTRONEER,109874,92.24,Adventure
1079460,Descenders Soundtrack,40,80.0,681280,Descenders,15467,95.27,Action
1079460,Descenders Soundtrack,40,80.0,681280,Descenders,15467,95.27,Action
1079460,Descenders Soundtrack,40,80.0,681280,Descenders,15467,95.27,Action
1797050,Age of Empires IV Digital Soundtrack,49,79.59,1466860,Age of Empires IV: Anniversary Edition,60200,86.31,Strategy
2282210,Rain World: Downpour - Soundtrack,36,94.44,312520,Rain World,33757,94.69,Action
2282210,Rain World: Downpour - Soundtrack,36,94.44,312520,Rain World,33757,94.69,Action
2282210,Rain World: Downpour - Soundtrack,36,94.44,312520,Rain World,33757,94.69,Action
2282210,Rain World: Downpour - Soundtrack,36,94.44,312520,Rain World,33757,94.69,Action
2282210,Rain World: Downpour - Soundtrack,36,94.44,312520,Rain World,33757,94.69,Unknown
514800,Quantum Break - Original Game Soundtrack,25,56.0,474960,Quantum Break,20890,86.4,Action
1701720,Rust Soundtrack,153,81.7,252490,Rust,1013088,87.67,Action
1701720,Rust Soundtrack,153,81.7,252490,Rust,1013088,87.67,Action
799331,Ancestors Legacy - Digital Soundtrack,28,92.86,620590,Ancestors Legacy,5572,79.88,Strategy
1206340,Hades Original Soundtrack,233,97.0,1145360,Hades,257678,98.25,Action
1206340,Hades Original Soundtrack,233,97.0,1145360,Hades,257678,98.25,Action
1249770,State of Decay 2 Soundtrack,48,81.25,495420,State of Decay 2: Juggernaut Edition,52396,83.87,Action
1249770,State of Decay 2 Soundtrack,48,81.25,495420,State of Decay 2: Juggernaut Edition,52396,83.87,Action
1523190,Dyson Sphere Program - Soundtrack,130,97.69,1366540,Dyson Sphere Program,77197,97.69,Indie
1101300,Bloodstained: Ritual of the Night - Soundtrack,110,91.82,692850,Bloodstained: Ritual of the Night,27955,93.97,Action
1101300,Bloodstained: Ritual of the Night - Soundtrack,110,91.82,692850,Bloodstained: Ritual of the Night,27955,93.97,Action
1101300,Bloodstained: Ritual of the Night - Soundtrack,110,91.82,692850,Bloodstained: Ritual of the Night,27955,93.97,Action
3514130,NieR:Automata Original Soundtrack,22,86.36,524220,NieR:Automata™,103329,88.1,Action
3514130,NieR:Automata Original Soundtrack,22,86.36,524220,NieR:Automata™,103329,88.1,Unknown
1709930,I Am Fish Soundtrack,22,63.64,1472560,I Am Fish,2093,75.73,Adventure
1709930,I Am Fish Soundtrack,22,63.64,1472560,I Am Fish,2093,75.73,Adventure
1314470,BPM: BULLETS PER MINUTE Soundtrack,50,98.0,1286350,BPM: BULLETS PER MINUTE,9347,92.31,Action
1280900,Full Service Soundtrack,27,33.33,1223810,Full Service,482,96.68,Casual
1041000,Hypnospace Outlaw (Original Soundtrack),28,96.43,844590,Hypnospace Outlaw,4083,96.87,Simulation
1041000,Hypnospace Outlaw (Original Soundtrack),28,96.43,844590,Hypnospace Outlaw,4083,96.87,Simulation
1041000,Hypnospace Outlaw (Original Soundtrack),28,96.43,844590,Hypnospace Outlaw,4083,96.87,Simulation
989960,Project Warlock - Soundtrack,39,94.87,893680,Project Warlock,3774,88.02,Action
564030,The Uncertain: Last Quiet Day Soundtrack and Artbook,25,92.0,406970,The Uncertain: Last Quiet Day,1628,76.35,Adventure
564030,The Uncertain: Last Quiet Day Soundtrack and Artbook,25,92.0,406970,The Uncertain: Last Quiet Day,1628,76.35,Adventure
2105100,"Love, Money, Rock'n'Roll Soundtrack",58,98.28,615530,"Love, Money, Rock'n'Roll",3406,82.68,Adventure
1258740,Ori and the Will of the Wisps Soundtrack,204,96.57,1057090,Ori and the Will of the Wisps,126582,96.59,Action
1258740,Ori and the Will of the Wisps Soundtrack,204,96.57,1057090,Ori and the Will of the Wisps,126582,96.59,Action
2517310,Persona 3 Reload - Digital Soundtrack,309,2.27,2161700,Persona 3 Reload,28209,95.12,Adventure
1236640,"Warhammer 40,000: Mechanicus - Complete Original Soundtrack",52,100.0,673880,"Warhammer 40,000: Mechanicus",10247,92.2,Strategy
1236640,"Warhammer 40,000: Mechanicus - Complete Original Soundtrack",52,100.0,673880,"Warhammer 40,000: Mechanicus",10247,92.2,Strategy
2054540,Neon White - Original Soundtrack,52,100.0,1533420,Neon White,14765,98.25,Action
2054540,Neon White - Original Soundtrack,52,100.0,1533420,Neon White,14765,98.25,Action
1161410,Noita Soundtrack,42,90.48,881100,Noita,71246,95.28,Action
1161410,Noita Soundtrack,42,90.48,881100,Noita,71246,95.28,Action
1351390,Not For Broadcast Original Soundtrack,66,89.39,1147550,Not For Broadcast,9371,94.44,Adventure
1402630,Freedom Fighters Soundtrack,38,97.37,1347780,Freedom Fighters,1832,94.54,Action
1402630,Freedom Fighters Soundtrack,38,97.37,1347780,Freedom Fighters,1832,94.54,Action
570930,Redout - Soundtrack,31,100.0,517710,Redout: Enhanced Edition,3352,84.96,Racing
570930,Redout - Soundtrack,31,100.0,517710,Redout: Enhanced Edition,3352,84.96,Racing
929350,TouHou Makuka Sai ~ Fantastic Danmaku Festival Soundtrack,25,88.0,882710,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,1238,96.28,Action
2194520,Mount & Blade II: Bannerlord Soundtrack,45,91.11,261550,Mount & Blade II: Bannerlord,204069,87.92,Action
2194520,Mount & Blade II: Bannerlord Soundtrack,45,91.11,261550,Mount & Blade II: Bannerlord,204069,87.92,Action
564030,The Uncertain: Last Quiet Day Soundtrack and Artbook,25,92.0,406970,The Uncertain: Last Quiet Day,1628,76.35,Adventure
564030,The Uncertain: Last Quiet Day Soundtrack and Artbook,25,92.0,406970,The Uncertain: Last Quiet Day,1628,76.35,Adventure
458790,The House in Fata Morgana Original Soundtrack,38,100.0,303310,The House in Fata Morgana,4582,94.74,Adventure
1395720,Spiritfarer Soundtrack,45,95.56,972660,Spiritfarer®: Farewell Edition,40439,95.23,Adventure
1395720,Spiritfarer Soundtrack,45,95.56,972660,Spiritfarer®: Farewell Edition,40439,95.23,Adventure
1905390,Survivors of the Void Soundtrack,58,98.28,632360,Risk of Rain 2,210181,93.43,Action
1905390,Survivors of the Void Soundtrack,58,98.28,632360,Risk of Rain 2,210181,93.43,Action
1905390,Survivors of the Void Soundtrack,58,98.28,632360,Risk of Rain 2,210181,93.43,Action
1905390,Survivors of the Void Soundtrack,58,98.28,632360,Risk of Rain 2,210181,93.43,Action
2950840,Hades II Original Soundtrack ,50,98.0,1145350,Hades II,59516,94.87,Action
1107290,My Friend Pedro Soundtrack,41,95.12,557340,My Friend Pedro,23633,96.0,Action
1107290,My Friend Pedro Soundtrack,41,95.12,557340,My Friend Pedro,23633,96.0,Action
1107290,My Friend Pedro Soundtrack,41,95.12,557340,My Friend Pedro,23633,96.0,Action
556900,Shadow Tactics: Blades of the Shogun - Official Soundtrack,44,95.45,418240,Shadow Tactics: Blades of the Shogun,29778,96.05,Indie
556900,Shadow Tactics: Blades of the Shogun - Official Soundtrack,44,95.45,418240,Shadow Tactics: Blades of the Shogun,29778,96.05,Indie
2169090,Vampire Survivors Soundtrack,190,97.89,1794680,Vampire Survivors,236877,98.51,Action
1291400,Cloudpunk Soundtrack,33,87.88,746850,Cloudpunk,12878,88.36,Adventure
610220,Night in the Woods - Soundtrack Vol. I,29,93.1,481510,Night in the Woods,16073,94.67,Adventure
